Genus;Species;Location;Subject;Sex;Age;X.insertions;X.bouts;HI;AbsHI;z-score;Category;Clade;Treename
Ateles;fusciceps;Landau;Ella;f;adult;61;32;0.508;0.51;3.969143278;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Luca;m;adult;39;15;1;1;6.244997998;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Matilda;f;juvenile;36;18;0.889;0.89;5.333333333;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Matheo;m;adult;39;19;0.487;0.49;3.042434922;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Hexe;f;adult;50;26;0.96;0.96;6.788225099;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Tuja;f;adult;75;28;0.307;0.31;2.655811238;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Osnabr�ck;Nevile;m;adult;44;16;0.727;0.73;4.824181513;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Osnabr�ck;Ronja;f;adult;40;18;1;1;6.32455532;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Osnabr�ck;Isabell;f;adult;39;11;-0.949;0.95;-5.924741691;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Osnabr�ck;female_1;f;juvenile;37;7;1;1;6.08276253;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Wuppertal;Steffi;f;adult;41;14;-1;1;-6.403124237;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Wuppertal;Joanna;f;adult;48;21;-0.958;0.96;-6.639528096;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Wuppertal;Paul;m;juvenile;37;20;-1;1;-6.08276253;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Wuppertal;Anton;m;adult;69;15;-1;1;-8.306623863;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Wuppertal;Jonas;m;adult;32;13;0.938;0.94;5.303300859;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Munich;Tarantula;f;adult;44;20;0.682;0.68;4.522670169;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Munich;Silka;f;adult;33;17;0.879;0.88;5.048252023;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Munich;Husky;m;adult;38;18;0.789;0.79;4.866642634;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Munich;Quitte;f;juvenile;30;11;0.533;0.53;2.921186973;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Mulhouse;M04004;f;adult;36;10;-1;1;-6;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Mulhouse;Circe;f;adult;49;20;0.143;0.14;1;ambipreferent;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Berlin (Zoo);Adina;f;adult;61;47;-0.967;0.97;-7.554175916;left;Platyrrhini;Ateles_fusciceps
Ateles;geoffroyi;Universidad Veracruzana;Frida;f;adult;100;NA;1;1;9.9;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Karen;f;adult;100;NA;-0.84;0.84;-8.5;left;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Kelly;f;adult;100;NA;0.88;0.88;8.7;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Mari;f;adult;100;NA;0.42;0.42;4.1;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Paulina;f;adult;100;NA;-1;1;-10.1;left;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Chavela;f;adult;100;NA;-0.88;0.88;-8.9;left;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Margarita;f;adult;100;NA;1;1;9.9;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Brutus;m;adult;100;NA;0.98;0.98;9.7;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Ceijitas;m;adult;100;NA;-1;1;-10.1;left;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Colin;m;adult;100;NA;1;1;9.9;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Edgar;m;adult;100;NA;-1;1;-10.1;left;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Lucas;m;adult;100;NA;0.88;0.88;8.7;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Neri;m;adult;100;NA;0.8;0.8;7.9;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Universidad Veracruzana;Yayo;m;adult;100;NA;-0.84;0.84;-8.5;left;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Basel;Bonita;f;adult;34;8;-1;1;-5.830951895;left;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Basel;Jetta;f;adult;32;7;1;1;5.656854249;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Basel;Quilimari;f;adult;44;13;0.273;0.27;1.809068067;ambipreferent;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Basel;Juanita;f;adult;83;14;-1;1;-9.110433579;left;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Basel;Orozco;m;juvenile;65;29;1;1;8.062257748;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Basel;Tica Tequila;f;adult;30;11;1;1;5.477225575;right;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Basel;Nestor;m;juvenile;42;15;-0.952;0.95;-6.172133998;left;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Karlsruhe;Asterix;m;adult;114;30;-0.088;0.09;-0.936585812;ambipreferent;Platyrrhini;Ateles_geoffroyi
Ateles;geoffroyi;Karlsruhe;H�mpfeli;m;adult;100;36;-0.24;0.24;-2.4;left;Platyrrhini;Ateles_geoffroyi
Ateles;hybridus;Dou� la Fontaine;Gaby;f;adult;50;13;-0.32;0.32;-2.2627417;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Dou� la Fontaine;Eliott;m;adult;38;13;-1;1;-6.164414003;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Dou� la Fontaine;Pesy;f;adult;32;7;-1;1;-5.656854249;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Erfurt;Carlos;m;adult;35;6;-1;1;-5.916079783;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Erfurt;Salta;f;adult;36;9;-1;1;-6;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Erfurt;Isabo;f;adult;39;23;-0.949;0.95;-5.924741691;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Erfurt;Inka;f;adult;36;6;1;1;6;right;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Frankfurt;Speedy;f;adult;51;30;1;1;7.141428429;right;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Frankfurt;Shakira;f;adult;47;14;-1;1;-6.8556546;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Frankfurt;Zac;m;adult;32;9;-0.625;0.63;-3.535533906;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Frankfurt;Ocana;f;adult;48;19;1;1;6.92820323;right;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Frankfurt;Benico;m;juvenile;53;24;-1;1;-7.280109889;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Stuttgart;Siesta;f;adult;60;26;-1;1;-7.745966692;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Stuttgart;Beppo;m;adult;30;24;-0.933;0.93;-5.112077203;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Stuttgart;Fudge;f;adult;55;48;-0.818;0.82;-6.067798762;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Neuwied;Ivo;m;adult;42;8;0.857;0.86;5.554920599;right;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Neuwied;Oro;m;adult;38;11;-1;1;-6.164414003;left;Platyrrhini;Ateles_belzebuth
Ateles;hybridus;Neuwied;Sola;m;adult;97;8;1;1;9.848857802;right;Platyrrhini;Ateles_belzebuth
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Chipse;f;adult;NA;64;0.97;0.97;NA;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Julie;f;adult;NA;30;-0.67;0.67;NA;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Bell;f;adult;NA;67;0.19;0.19;NA;ambipreferent;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Joly;f;adult;NA;38;1;1;NA;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Goffrette;f;adult;NA;31;1;1;NA;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Chipie;f;adult;NA;64;-0.25;0.25;NA;ambipreferent;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Carillon;m;adult;NA;32;-0.75;0.75;NA;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Isba;m;adult;NA;50;0.28;0.28;NA;ambipreferent;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Marti;m;adult;NA;57;0.02;0.02;NA;ambipreferent;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Filou;m;adult;NA;74;-0.35;0.35;NA;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Pirate;m;adult;NA;87;0.08;0.08;NA;ambipreferent;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Bandit;m;adult;NA;54;0.81;0.81;NA;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Universit� de Rennes, Paimpont;Rapide;m;adult;NA;69;-0.01;0.01;NA;ambipreferent;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Apeldoorn;Buta;m;adult;38;21;1;1;6.164414003;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Apeldoorn;Michelle;f;adult;63;42;0.841;0.84;6.677372356;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Apeldoorn;Morris;f;adult;38;24;-1;1;-6.164414003;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Apeldoorn;Matilda;f;adult;30;18;0.467;0.47;2.556038602;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;M�nster;G�nther;m;adult;41;13;-1;1;-6.403124237;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;M�nster;Gustav;m;juvenile;38;16;0.474;0.47;2.91998558;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;M�nster;Gerd;m;juvenile;34;13;-0.824;0.82;-4.801960384;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;M�nster;Muvo;m;adult;34;15;-1;1;-5.830951895;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;M�nster;Clark;m;adult;44;9;-0.773;0.77;-5.125692858;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;M�nster;Rolanda;f;adult;37;13;0.568;0.57;3.452378733;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;M�nster;Luala;f;adult;38;15;-0.895;0.89;-5.515528318;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;M�nster;Solei;f;adult;75;8;-1;1;-8.660254038;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Karlsruhe;Kano;f;adult;48;17;-0.667;0.67;-4.618802154;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Karlsruhe;Alf;m;adult;49;19;1;1;7;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Karlsruhe;Elani;f;juvenile;30;21;0.2;0.2;1.095445115;ambipreferent;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Berlin (Tierpark);Valerius;m;adult;91;47;0.956;0.96;9.120078079;right;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Berlin (Tierpark);Sina;f;adult;92;30;-0.739;0.74;-7.089490078;left;Cercopithecoidea;Cercocebus_torquatus
Cercocebus;torquatus;Berlin (Tierpark);Maja;f;adult;35;18;-0.829;0.83;-4.901894677;left;Cercopithecoidea;Cercocebus_torquatus
Cercopithecus;diana;Amsterdam;M16061;f;adult;46;21;1;1;6.782329983;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Amsterdam;Taabo;m;adult;39;21;0.897;0.9;5.604485383;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Dou� la Fontaine;Naya;f;adult;36;24;0.167;0.17;1;ambipreferent;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Dou� la Fontaine;Owabi;m;adult;30;11;-1;1;-5.477225575;left;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Osnabr�ck;Tubili;m;adult;83;19;-0.783;0.78;-7.134676899;left;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Mulhouse;Nyaga;f;adult;43;31;-0.116;0.12;-0.762492852;ambipreferent;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Mulhouse;Sassandra;f;adult;43;29;-0.721;0.72;-4.72745568;left;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Mulhouse;female_1;f;juvenile;31;20;1;1;5.567764363;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Mulhouse;female_2;f;juvenile;53;37;0.925;0.92;6.730667633;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Mulhouse;Bastian;m;adult;56;28;1;1;7.483314774;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Duisburg;female_3;f;adult;33;29;-1;1;-5.744562647;left;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Duisburg;Madiba;m;juvenile;90;49;-0.533;0.53;-5.059644256;left;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Duisburg;Eleni;f;juvenile;47;24;-0.787;0.79;-5.397004685;left;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Duisburg;male_1;m;adult;33;32;-0.697;0.7;-4.003786087;left;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Liberec;Kamakwie;f;adult;88;64;0.841;0.84;7.888426505;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Liberec;Kilimi;f;adult;36;25;0.5;0.5;3;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Heidelberg;Ghana;m;adult;57;35;-0.123;0.12;-0.92717265;ambipreferent;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Heidelberg;Adriana;f;adult;45;7;1;1;6.708203932;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Berlin (Tierpark);Solar;m;adult;44;23;1;1;6.633249581;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;diana;Berlin (Tierpark);Hera;f;adult;45;14;1;1;6.708203932;right;Cercopithecoidea;Cercopithecus_diana
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Marjo;f;adult;NA;203;-0.2;0.2;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Janice;f;adult;NA;37;-0.84;0.84;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Pimprenelle;f;juvenile;NA;82;0.51;0.51;NA;right;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Ari;m;adult;NA;279;-1;1;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Galaad;m;adult;NA;206;-0.98;0.98;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Globule;m;adult;NA;202;0.52;0.52;NA;right;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Perc�;m;adult;NA;209;-0.71;0.71;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Pollux;m;adult;NA;201;-0.97;0.97;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Tom;m;adult;218;NA;-0.61;0.61;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Elise;m;adult;NA;204;0.63;0.63;NA;right;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Fora;m;adult;NA;214;-0.58;0.58;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Mashin;m;juvenile;NA;200;-1;1;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Universit� de Rennes, Paimpont;Victoire;m;juvenile;NA;211;-0.69;0.69;NA;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Bekesbourne;Funio;m;adult;42;13;-1;1;-6.480740698;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Bekesbourne;Afia;f;adult;38;12;-0.737;0.74;-4.542199792;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Overloon;Steven;m;adult;65;19;-0.2;0.2;-1.61245155;ambipreferent;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Overloon;Jack;f;adult;38;9;0;0;0;ambipreferent;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Overloon;Wendy;f;adult;52;25;0.462;0.46;3.328201177;right;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Duisburg;male_1;m;juvenile;48;21;-0.875;0.88;-6.062177826;left;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Duisburg;male_2;m;juvenile;70;36;0.171;0.17;1.434274331;ambipreferent;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Duisburg;Cuthbert;m;adult;31;28;1;1;5.567764363;right;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Duisburg;Mala;f;adult;55;15;0.345;0.35;2.561959477;right;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Hanover;Clochette;f;adult;38;15;0.895;0.89;5.515528318;right;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Hanover;Tewa;f;adult;31;23;-0.226;0.23;-1.257237114;ambipreferent;Cercopithecoidea;Cercopithecus_neglectus
Cercopithecus;neglectus;Hanover;Barca;m;adult;69;27;-0.362;0.36;-3.009646327;left;Cercopithecoidea;Cercopithecus_neglectus
Gorilla;gorilla;see Hopkins et al., 2011;Banga;f;adult;NA;NA;0.853658537;0.853658537;5.466081666;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Choomba;f;adult;NA;NA;0.67032967;0.67032967;6.394537504;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Debbie;f;adult;NA;NA;0.154471545;0.154471545;1.713172306;ambipreferent;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Helen;f;adult;NA;NA;0.31147541;0.31147541;3.44035835;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Kuchi;f;adult;NA;NA;-0.18699187;0.18699187;-2.07384016;left;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Machi;f;adult;NA;NA;-0.220338983;0.220338983;-2.393494007;left;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Paki;f;adult;NA;NA;0.838383838;0.838383838;8.341813867;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Shamba;f;adult;NA;NA;1;1;6.557438524;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Haloko;f;adult;NA;NA;0.850746269;0.850746269;6.963658328;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Mandara;f;adult;NA;NA;0.709090909;0.709090909;5.258758927;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;josephin;f;adult;NA;NA;-0.13;0.13;-1.4;ambipreferent;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;samantha;f;adult;NA;NA;0.01;0.01;0.11;ambipreferent;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Becky;f;adult;NA;NA;-0.678571429;0.678571429;-8.795290948;left;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Bulera;f;adult;NA;NA;0.960784314;0.960784314;6.861372412;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Kowali;f;adult;NA;NA;0.25;0.25;1.870828693;ambipreferent;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Omega;f;adult;NA;NA;0.957894737;0.957894737;16.17112436;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;colo;f;adult;NA;NA;0.13;0.13;0.71;ambipreferent;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;lulu;f;adult;NA;NA;0.85;0.85;4.43;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;mumbah;f;adult;NA;NA;0.69;0.69;4.621207153;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;pongi;f;adult;NA;NA;0;0;0;ambipreferent;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Femelle;f;adult;NA;NA;-0.826086957;0.826086957;-5.602794334;left;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Ngajji;f;adult;NA;NA;-0.58490566;0.58490566;-4.258177482;left;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Bahati;f;juvenile;NA;NA;-0.041666667;0.041666667;-0.288675135;ambipreferent;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Bengati;f;juvenile;NA;NA;1;1;3.605551275;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Kashata;f;juvenile;NA;NA;0.56;0.56;6.85857128;right;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Madini;f;juvenile;NA;NA;-0.365853659;0.365853659;-3.312945782;left;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Makari;f;juvenile;NA;NA;-0.078651685;0.078651685;-0.741998516;ambipreferent;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;MiaMoja;f;juvenile;NA;NA;-0.004444444;0.004444444;-0.066666667;ambipreferent;Hominoidea;Gorilla_gorilla_gorilla
Gorilla;gorilla;see Hopkins et al., 2011;Mumbali;f;juvenile;NA;NA;-0.873417722;0.873417722;-7.763106516;left;Hominoidea;Gorilla_gorilla_gorilla
